sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,is_recid,is_violent_recid,score_text,charge_degree
Male,69,Other,0,1,0,0,0,-1,0,0,Low,F
Male,34,African-American,0,3,0,0,0,-1,1,1,Low,F
Male,24,African-American,0,4,0,1,4,-1,1,0,Low,F
Male,44,Other,0,1,0,0,0,0,0,0,Low,M
Male,41,Caucasian,0,6,0,0,14,-1,1,0,Medium,F
Male,43,Other,0,4,0,0,3,-1,0,0,Low,F
Female,39,Caucasian,0,1,0,0,0,-1,0,0,Low,M
Male,20,Caucasian,0,10,0,1,0,-1,0,0,High,F
Female,26,Caucasian,0,5,0,0,0,-1,0,0,Medium,F
Male,21,Caucasian,0,3,0,0,1,428,1,1,Low,F
Male,27,Caucasian,0,4,0,0,0,-1,0,0,Low,F
Male,23,African-American,0,6,0,0,3,0,1,0,Medium,M
Female,37,Caucasian,0,1,0,0,0,0,0,0,Low,M
Male,22,Caucasian,0,3,0,0,0,0,0,0,Low,M
Male,41,African-American,0,4,0,0,0,-1,0,0,Low,F
Female,47,Caucasian,0,1,0,0,1,-20,1,0,Low,F
Male,31,African-American,0,3,0,0,7,22,1,0,Low,F
Male,37,Hispanic,0,1,0,0,0,0,0,0,Low,M
Male,25,African-American,0,10,0,0,3,-1,0,0,High,F
Male,31,Caucasian,0,5,0,0,6,-1,1,1,Medium,F
Male,31,Caucasian,0,3,0,0,5,-1,1,0,Low,F
Male,64,African-American,0,6,0,0,13,-1,1,0,Medium,F
Male,21,African-American,0,9,0,0,1,-1,1,0,High,F
Male,27,Caucasian,0,2,0,0,0,0,1,0,Low,M
Female,21,Caucasian,0,4,0,0,0,-2,0,0,Low,F
Male,24,Hispanic,0,4,0,0,1,0,1,0,Low,F
Male,42,Caucasian,0,3,0,0,1,-132,0,0,Low,F
Male,43,Caucasian,0,1,0,0,1,-1,0,0,Low,M
Male,32,Other,0,3,0,0,0,-1,0,0,Low,M
Female,54,African-American,0,9,0,0,0,-1,0,0,High,F
Male,44,African-American,0,6,0,0,8,0,0,0,Medium,M
Male,27,African-American,0,3,0,0,8,-1,1,1,Low,F
Female,36,Caucasian,0,3,0,0,3,53,0,0,Low,F
Male,26,African-American,0,7,0,1,5,-1,1,0,Medium,F
Male,33,African-American,0,10,0,0,0,0,1,1,High,F
Male,30,Caucasian,0,9,0,0,9,0,1,0,High,F
Male,32,African-American,0,8,0,0,4,-1,1,0,High,F
Male,63,African-American,0,1,0,0,0,-1,0,0,Low,M
Male,27,Hispanic,0,3,0,0,2,0,0,0,Low,F
Male,55,Caucasian,0,1,0,0,0,-1,0,0,Low,F
Male,32,African-American,0,10,0,0,15,0,0,0,High,F
Male,38,African-American,0,3,0,2,5,-1,0,0,Low,F
Male,53,Caucasian,0,5,0,0,19,-1,0,0,Medium,F
Male,49,Other,0,3,0,0,7,-1,1,0,Low,F
Male,26,Caucasian,0,8,0,2,6,81,0,0,High,M
Female,33,Caucasian,0,5,0,0,4,-1,1,0,Medium,M
Male,24,Caucasian,0,2,0,0,1,0,1,0,Low,M
Male,34,African-American,2,9,1,3,21,0,1,0,High,F
Male,29,Caucasian,0,2,0,0,0,0,0,0,Low,M
Female,21,African-American,0,8,0,0,2,-1,0,0,High,F
Male,51,African-American,0,1,0,0,2,-1,0,0,Low,M
Male,29,Caucasian,0,2,0,0,2,-1,1,0,Low,M
Male,25,African-American,0,6,0,0,0,-1,0,0,Medium,F
Female,51,African-American,0,2,0,0,7,-1,0,0,Low,F
Male,28,Caucasian,0,7,0,0,8,0,0,0,Medium,F
Male,36,African-American,0,9,0,0,22,-1,0,0,High,M
Male,29,African-American,0,7,0,0,0,0,1,0,Medium,F
Male,29,Other,0,1,0,0,0,-1,0,0,Low,M
Male,25,Caucasian,0,10,0,0,9,-1,1,1,High,M
Male,35,African-American,1,8,0,4,13,-1,1,1,High,F
Male,49,Caucasian,0,1,0,0,0,0,0,0,Low,M
Male,34,African-American,0,3,0,0,4,-59,1,0,Low,M
Male,29,African-American,0,4,0,0,0,0,0,0,Low,F
Male,29,Caucasian,0,2,0,0,1,-24,1,0,Low,F
Female,28,Other,0,2,0,0,0,-1,0,0,Low,F
Male,51,Caucasian,0,2,0,0,0,-1,0,0,Low,F
Male,25,Caucasian,0,3,0,0,0,0,0,0,Low,F
Male,48,Caucasian,0,6,0,0,20,302,1,0,Medium,F
Male,33,Caucasian,0,9,0,0,1,0,0,0,High,F
Female,63,Hispanic,0,1,0,0,1,-219,0,0,Low,F
Male,30,African-American,0,6,0,1,3,-1,0,0,Medium,F
Male,31,African-American,0,5,0,1,15,-1,1,0,Medium,F
Male,24,African-American,0,4,0,0,2,-1,1,0,Low,F
Male,27,African-American,0,5,0,0,0,-1,0,0,Medium,F
Male,32,Caucasian,0,8,0,0,3,-1,0,0,High,F
Male,30,Hispanic,0,7,0,0,0,0,0,0,Medium,M
Male,49,African-American,0,1,0,0,4,-1,0,0,Low,M
Male,53,Caucasian,0,5,0,0,8,-13,0,0,Medium,F
Female,31,Hispanic,0,1,0,0,0,-1,0,0,Low,M
Male,35,African-American,0,3,0,0,5,-1,0,0,Low,F
Male,63,African-American,0,7,0,0,10,-38,1,0,Medium,M
Male,33,African-American,0,1,0,0,2,-1,0,0,Low,F
Male,27,African-American,1,10,1,2,15,-1,1,0,High,F
